text,label
I love this product!,positive
This is the worst experience I've had.,negative
The service was great and timely.,positive
The app crashes often.,negative
Amazing quality and highly recommended!,positive
Not worth the money.,negative
I love this product!,positive
This is the worst experience I've had.,negative
The service was great and timely.,positive
The app crashes often.,negative
Amazing quality and highly recommended!,positive
Not worth the money.,negative
I love this product!,positive
This is the worst experience I've had.,negative
The service was great and timely.,positive
The app crashes often.,negative
Amazing quality and highly recommended!,positive
Not worth the money.,negative
I love this product!,positive
This is the worst experience I've had.,negative
The service was great and timely.,positive
The app crashes often.,negative
Amazing quality and highly recommended!,positive
Not worth the money.,negative
I love this product!,positive
This is the worst experience I've had.,negative
The service was great and timely.,positive
The app crashes often.,negative
Amazing quality and highly recommended!,positive
Not worth the money.,negative
I love this product!,positive
This is the worst experience I've had.,negative
The service was great and timely.,positive
The app crashes often.,negative
Amazing quality and highly recommended!,positive
Not worth the money.,negative
I love this product!,positive
This is the worst experience I've had.,negative
The service was great and timely.,positive
The app crashes often.,negative
Amazing quality and highly recommended!,positive
Not worth the money.,negative
I love this product!,positive
This is the worst experience I've had.,negative
The service was great and timely.,positive
The app crashes often.,negative
Amazing quality and highly recommended!,positive
Not worth the money.,negative
I love this product!,positive
This is the worst experience I've had.,negative
The service was great and timely.,positive
The app crashes often.,negative
Amazing quality and highly recommended!,positive
Not worth the money.,negative
I love this product!,positive
This is the worst experience I've had.,negative
The service was great and timely.,positive
The app crashes often.,negative
Amazing quality and highly recommended!,positive
Not worth the money.,negative
I love this product!,positive
This is the worst experience I've had.,negative
The service was great and timely.,positive
The app crashes often.,negative
Amazing quality and highly recommended!,positive
Not worth the money.,negative
I love this product!,positive
This is the worst experience I've had.,negative
The service was great and timely.,positive
The app crashes often.,negative
Amazing quality and highly recommended!,positive
Not worth the money.,negative
I love this product!,positive
This is the worst experience I've had.,negative
The service was great and timely.,positive
The app crashes often.,negative
Amazing quality and highly recommended!,positive
Not worth the money.,negative
I love this product!,positive
This is the worst experience I've had.,negative
The service was great and timely.,positive
The app crashes often.,negative
Amazing quality and highly recommended!,positive
Not worth the money.,negative
